id,section,loc,item_type,description,stated_value,legacy_producer,track_P_module,track_R_module,acceptance_test,tolerance,status
P-032,Problem 1,eq:pcp,metric,PCP = 1/B sum 1{argmin(J+p^b) = i*},,../src/posterior_uncertainty.py,problem1.eval,shared,planned,,implemented
P-033,Problem 1,pcp_vs_alive.jpg,figure,Crowded-field effect: PCP rises as alive set shrinks,visual,../src/eval_metrics_viz.py,problem1.eval,shared,planned,,implemented
P-034,Problem 1,eq:ranking_gap,metric,Ranking gap Delta R = Rank_final - Rank_judge,,../src/eval_metrics_viz.py,problem1.eval,shared,planned,,implemented
P-035,Problem 1,ranking_gap.jpg,figure,"Popularity premium: inferred fan rank vs ranking gap (paper claims R^2>0.6; reproduced R^2=0.2704, n=421, D-20260901-12)",R^2>0.6,../src/eval_metrics_viz.py,problem1.eval,shared,planned,,implemented
P-036,Problem 1,eq:ci,metric,"90% credible interval CI90 = [Q_0.05, Q_0.95]; relative width RW = (hi-lo)/(p_hat+eps)",,../src/posterior_uncertainty.py,problem1.eval,shared,planned,,implemented
P-037,Problem 1,1_fig2_ci_heatmap_S21.png,figure,Season 21 relative CI width heatmap (heterogeneous uncertainty),visual,../src/plot_uncertainty.py,problem1.eval,shared,planned,,implemented
P-038,Problem 1,ess,method,"ESS diagnostic per week; flag low-ESS, increase B to stabilize",,../src/posterior_uncertainty.py,problem1.eval,shared,planned,,implemented
P-039,Problem 2,eq:rank_rule,formula,Rank rule: e_hat = argmax_i (rank(-T_i) + rank(-p_hat_i)),,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-040,Problem 2,eq:pct_rule,formula,Percentage rule: e_hat = argmin_i (T_i/sum T + p_hat_i),,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-041,Problem 2,eq:dr,metric,Disagreement rate DR_s = 1/|W| sum 1{e_rank != e_pct},DR_s>0.6 frequent,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-042,Problem 2,2_posterior_probability.png,figure,Posterior agreement (bimodal),visual,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-043,Problem 2,2_weekly_disagreement.png,figure,Weekly disagreement,visual,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-044,Problem 2,eq:override,metric,Override rate = 1/|W| sum 1{e_hat != argmin T}; FanWorst = 1{e = argmin p_hat},,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-045,Problem 2,2_posterior_delta.png,figure,Delta_s = E[Override_rank - Override_pct] < 0 (pct more fan override),visual,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-046,Problem 2,2_threshold_fan_share.png,figure,Threshold fan share for judge-worst to survive,visual,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-047,Problem 2,eq:bottom2,formula,"Bottom-2 + save: B = arg two-min S, e_hat = argmin_{i in B} J_i",,../src/b2_save_metrics.py,problem2.rules,shared,planned,,implemented
P-048,Problem 2,eq:rev_rate,metric,Reversal rate rev_rate = Pr(e_B2 != e_direct),,../src/b2_save_metrics.py,problem2.rules,shared,planned,,implemented
P-049,Problem 2,3_Reversal_Heatmap_Rank.png,figure,Reversal heatmap (rank),visual,../src/b2_save_metrics.py,problem2.rules,shared,planned,,implemented
P-050,Problem 2,3_Reversal_Heatmap_Percent.png,figure,Reversal heatmap (percentage),visual,../src/b2_save_metrics.py,problem2.rules,shared,planned,,implemented
P-051,Problem 2,3_Discrepancy_Scatter.png,figure,Judge-fan disagreement landscape (top-left quadrant controversies),visual,../src/2_rank_vs_pct_cross_season.ipynb,problem2.cases,shared,planned,,implemented
P-052,Problem 2,tab:selected_cases,table,"Selected controversy cases (|d|, Flip): Jerry Rice 3.69/0.87; B.R.Cyrus 3.25/0.75; B.Palin 4.30/0.97; Bobby Bones 4.00/0.57; Tinashe 8.50/0.57; Vinny G. 9.88/0.33",see description,../src/sim_rank_trend_cases.py,problem2.cases,shared,planned,,implemented
P-053,Problem 2,4_EliminationProbability_*.png,figure,Six-case elimination probability panels,visual,../src/sim_rank_trend_cases.py,problem2.cases,shared,planned,,implemented
P-054,Problem 2,4_SurvivalCurves_*.png,figure,Six-case survival curves (Save vs Direct),visual,../src/sim_rank_trend_cases.py,problem2.cases,shared,planned,,implemented
P-055,Problem 2,4_RankVsPercentage_*.png,figure,Six-case rank divergence panels,visual,../src/sim_rank_trend_cases.py,problem2.cases,shared,planned,,implemented
P-056,Problem 2,5_Mechanism phase diagram.png,figure,"Mechanism phase diagram (fan influence x, judge consistency y)",visual,../src/2_rank_vs_pct_cross_season.ipynb,problem2.rules,shared,planned,,implemented
P-057,Problem 2,recommendation,claim,Recommendation: Percentage base + Bottom-2 judges save,,,problem2.rules,shared,planned,,implemented
P-058,Problem 3,eq:demo_model,formula,Demographic OLS: Y = alpha + beta_Age Age + sum delta_k I(industry=k),,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-059,Problem 3,coef_age,metric,Judge age penalty beta_Age ~ -0.04 (all weeks); fan age penalty reverses by W11,-0.04,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-060,Problem 3,coef_actor,metric,Actor: judge W1 beta~0.16; fan W6 beta=-0.87 (audience fatigue),0.16 / -0.87,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-061,Problem 3,6_Success_Factors_Judges_vs_Fans.png,figure,Temporal evolution of judge/fan coefficient heatmap,visual,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-062,Problem 3,eq:partner,formula,Partner traits H_abil = avg rank_past; H_exp = sum I(s in S_p),,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-063,Problem 3,eq:fe_model,formula,Fixed effects: Z = mu + g1 H_abil + g2 H_exp + alpha_p + eps,,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-064,Problem 3,coef_tenure,metric,"Partner tenure correlates with judge scores r=0.23, near-zero with fan votes",0.23,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-065,Problem 3,6_Partner_Traits_Correlation.png,figure,Partner trait correlation heatmap,visual,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-066,Problem 3,6_Pro_Partner_Historical_Impact.png,figure,Partner heterogeneity (raw ability vs fixed effects),visual,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-067,Problem 3,eq:surprise,formula,"Surprise S = Z_Judge,t - Z_Fan,t-1; Growth G = Z_Fan,t - Z_Fan,t-1",,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-068,Problem 3,eq:growth_model,formula,Quadratic interaction G = b0 + b1 S + b2 S^2 + b3 (S x H_exp),,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-069,Problem 3,coef_surprise,metric,Surprise linear beta1=0.34 (p<0.001); beta2>0 (Matthew); beta3>0 (leverage),0.34,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-070,Problem 3,6_Surprise_Effect_Vote_Growth.png,figure,Surprise -> vote growth linear response,visual,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-071,Problem 3,6_Surprise_NonLinearity_and_Interaction.png,figure,Surprise nonlinearity + tenure interaction,visual,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-072,Problem 4,eq:shock,metric,Technical shock rate Shock_k = Pr(elim in top-k judges),,../src/season_simulator.py,problem4.mechanisms,shared,planned,,implemented
P-073,Problem 4,eq:v1_gate,formula,V1: judge bottom-K gate B^J = arg K-min J; fans eliminate argmin p in B^J (K=3),K=3,../src/season_simulator.py,problem4.mechanisms,shared,planned,,implemented
P-074,Problem 4,v1_split,hyperparameter,V1 early/late split threshold m=8,m=8,../src/season_simulator.py,problem4.mechanisms,shared,planned,,implemented
P-075,Problem 4,eq:v2_temper,formula,V2 fan tempering p~ = p^gamma / sum p^gamma (0<gamma<=1),,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
P-076,Problem 4,eq:v2_judge,formula,V2 judge sharpening J~ = J^delta / sum J^delta (delta>=1),,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
P-077,Problem 4,eq:momentum,formula,Momentum m = T - (1/L)sum T_{t-l}; B = mu tanh(z/c),,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
P-078,Problem 4,eq:v2_score,formula,V2 score S = w_J J~ + w_F p~ + B; Bottom-2 then judges save,,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
P-079,Problem 4,v2_params,hyperparameter,"V2 defaults w_J=0.80 w_F=0.20 gamma=0.45 delta=1.35 mu=0.01 L in {2,3}",w_J=.80 w_F=.20 g=.45 d=1.35 mu=.01,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
P-080,Problem 4,8_V1_plot1.png,figure,V1 delta average rank (S3-S1) heatmap,visual,../src/season_simulator.py,problem4.mechanisms,shared,planned,,implemented
P-081,Problem 4,8_fig_diff_contour_avg_rank_S3_minus_S1.png,figure,Archetype cumulative survival by scheme (V1),visual,../src/season_simulator.py,problem4.mechanisms,shared,planned,,implemented
P-082,Problem 4,8_fig_ribbon_survival_by_archetype.png,figure,V0 vs V2 archetype survival ribbon,visual,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
P-083,Problem 4,8_fig_sim2_trend_2_Jerry_Rice.png; 8_fig_sim2_trend_4_Billy_Ray_Cyrus.png; 8_fig_sim2_trend_11_Bristol_Palin.png; 8_fig_sim2_trend_27_Bobby_Bones.png; 8_fig_sim2_trend_27_Tinashe.png; 8_fig_sim2_trend_31_Vinny_Guadagnino.png,figure,Six-case simulated weekly rank (V0 vs V2),visual,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
P-084,Problem 4,v1_immunity,claim,V1 gives popular contestants pre-filter immunity (does not correct canonical cases),,../src/season_simulator.py,problem4.mechanisms,shared,planned,,implemented
P-085,Problem 4,v2_bones,claim,V2: Bobby Bones champion -> 6th; Tinashe protected W7->W8,Bones->6th,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
P-086,Problem 4,recommendation,claim,"Recommendation: V2 for legitimacy, V1 for engagement, V1-early/V2-late hybrid",,,problem4.mechanisms,shared,planned,,implemented
P-087,Sensitivity,A1,method,"Perturb hyperparameters (tau, kappa)",,../src/sensitivity_analysis_a.py,sensitivity,shared,planned,,implemented
P-088,Sensitivity,A2,method,Perturb regularization balance lambda_u/lambda_beta,,../src/sensitivity_analysis_a.py,sensitivity,shared,planned,,implemented
P-089,Sensitivity,A3,method,Alternative judge-to-share transforms,,../src/sensitivity_analysis_a.py,sensitivity,shared,planned,,implemented
P-090,Sensitivity,A4,method,Leave-one-season-out refits,,../src/sensitivity_analysis_a.py,sensitivity,shared,planned,,implemented
P-091,Sensitivity,10_stability_scatter.png,figure,Stability of inferred fan support (Spearman),visual,../src/sensitivity_viz_a.py,sensitivity,shared,planned,,implemented
P-092,Sensitivity,10_tornado_pcp_mean.png,figure,"PCP sensitivity tornado (tau dominates, then kappa)",visual,../src/sensitivity_viz_a.py,sensitivity,shared,planned,,implemented
P-093,Sensitivity,10_A1_line_pcp_mean_by_kappa.png,figure,"PCP_mean monotonic in tau, kappa shifts upward",visual,../src/sensitivity_viz_a.py,sensitivity,shared,planned,,implemented
P-094,Analysis,strength,claim,Strength: uncertainty-aware inference; end-to-end testable pipeline,,,shared,shared,planned,,implemented
P-095,Analysis,weakness,claim,Weakness: limited identifiability; V2 attribution confounded (needs ablation),,,problem4.mechanisms,shared,planned,,implemented
P-096,Memo,memo_claims,claim,Memo: Actor's curse beta~-0.87; Bones->6th; Tinashe +30% survival,beta~-0.87,../src/season_simulator2.py,problem4.mechanisms,shared,planned,,implemented
